referral_date,referrer_customer_id,sign_up_customer_id
2021-07-18,795,1771
2021-04-12,577,1510
2021-07-07,868,1858
2021-10-25,801,1778
2021-08-15,690,1637
2021-01-17,148,1022
2021-03-16,372,1271
2021-05-14,504,1427
2021-06-13,541,1472
2021-06-30,37,975
2021-12-30,3,872
2021-04-26,343,1237
2021-12-04,496,1419
2022-01-03,292,1696
2021-04-03,716,1670
2021-02-12,586,1520
2021-12-26,373,1272
2021-01-31,559,632
2021-03-14,54,1167
2021-05-30,191,1071
2021-09-28,224,1111
2021-12-01,745,1710
2021-12-08,569,1501
2021-07-22,269,1156
2021-07-13,531,1460
2021-06-25,10,425
2021-12-31,566,1498
2021-09-06,381,1282
2021-06-19,671,1614
2021-09-27,229,1116
2021-07-22,257,1144
2021-07-24,107,260
2021-07-17,681,1627
2021-04-15,391,1296
2021-05-04,461,1373
2021-09-08,597,1533
2020-10-19,826,1809
2021-04-03,358,1256
2021-10-19,436,1346
2021-11-17,332,1843
2021-12-27,170,1046
2021-07-17,664,1606
2021-09-30,71,945
2022-01-01,863,1853
2021-10-25,383,1284
2021-08-24,467,1381
2021-08-03,502,1425
2021-08-18,850,1837
2021-10-31,346,1241
2021-07-14,6,1034
2021-04-28,155,1030
2021-12-19,95,969
2021-03-22,213,1098
2021-09-05,476,1391
2021-05-06,211,1096
2021-03-10,385,1287
2021-07-29,633,1570
2021-07-20,15,885
2021-07-24,271,1158
2021-08-06,422,1330
2022-01-01,600,1536
2021-07-10,542,1473
2021-05-28,740,1704
2021-09-13,99,973
2021-07-24,778,1749
2021-08-30,438,1348
2021-06-22,120,994
2021-09-12,268,1155
2021-07-22,178,1056
2021-11-06,183,1062
2021-09-06,37,1295
2021-06-11,605,1541
2021-12-15,117,991
2021-08-07,735,1697
2021-08-02,680,1626
2021-07-17,173,1049
2021-08-16,4,873
2021-11-02,645,1585
2021-08-15,403,1310
2021-09-18,862,1851
2021-04-28,49,922
2021-12-11,127,1001
2021-10-03,714,1668
2021-04-30,558,1491
2021-12-06,60,933
2021-12-29,303,1194
2021-03-27,240,1127
2021-04-14,631,1568
2021-06-02,186,1066
2021-10-30,230,1117
2021-10-02,696,1644
2021-07-23,245,1133
2021-09-05,147,1021
2021-12-28,158,1033
2021-07-24,8,1392
2021-07-20,811,1788
2022-01-02,854,1841
2021-07-30,459,1371
2021-12-20,216,1102
2021-07-23,678,1623
2021-06-16,694,1642
2021-10-23,388,1292
2021-08-17,340,1233
2021-10-23,340,1285
2021-10-05,200,1082
2021-07-26,32,904
2021-12-10,827,1810
2021-10-08,28,900
2021-07-17,773,1744
2021-07-29,146,1020
2021-07-23,347,1244
2021-04-12,36,1183
2021-08-14,511,1434
2021-06-14,45,918
2021-04-01,387,1291
2021-07-04,618,1555
2021-09-06,521,1444
2021-10-10,652,1703
2021-07-23,19,890
2021-07-24,153,1028
2021-07-23,759,1727
2021-12-26,582,1516
2021-08-04,297,1188
2021-12-17,357,1255
2021-09-11,276,1164
2021-07-23,349,1246
2021-06-28,364,1262
2021-07-18,606,1542
2021-11-15,581,1514
2021-06-17,567,1499
2021-08-08,717,1671
2021-07-17,6,1588
2021-04-25,147,1412
2021-12-25,401,1307
2021-07-01,553,1484
2021-04-30,535,1462
2021-07-23,231,1118
2022-01-01,839,1825
2021-08-23,280,1169
2021-09-23,444,1354
2021-10-14,523,1446
2021-07-20,856,1844
2021-09-18,531,1617
2021-11-29,677,1622
2021-04-04,8,1265
2021-07-28,562,1494
2021-07-27,36,1083
2021-07-21,361,1259
2021-11-15,834,1820
2021-11-20,478,1394
2021-01-05,168,1044
2020-12-27,405,1312
2021-11-01,732,1693
2021-07-08,457,1369
2021-11-29,637,1576
2021-06-08,243,1131
2021-12-19,747,1712
2021-07-21,802,1779
2021-07-24,149,1024
2021-12-18,729,1689
2021-08-30,636,1575
2021-08-16,788,1760
2021-07-23,691,1638
2021-07-04,131,1486
2021-07-19,354,1251
2021-06-18,8,1527
2021-07-23,644,1584
2021-07-24,8,1411
2021-08-01,638,1577
2021-07-20,56,929
2021-07-18,627,1564
2021-07-23,85,959
2021-04-08,34,1659
2021-08-19,122,996
2021-07-21,750,1716
2021-07-24,178,1289
2021-09-17,91,965
2021-11-23,860,1848
2021-03-03,140,1327
2021-09-08,8,1253
2021-05-09,155,1656
2021-10-06,424,1332
2021-11-14,8,1356
2021-05-14,421,1329
2021-11-01,443,1353
2021-12-06,367,1266
2021-09-28,171,1047
2021-07-17,325,1218
2021-07-19,384,1286
2021-08-25,126,1000
2021-07-24,514,1437
2021-09-27,589,1523
2021-11-25,489,1407
2021-04-29,791,1765
2022-01-02,109,983
2021-09-28,585,1519
2021-12-27,246,1134
2021-06-12,831,1815
2021-09-05,820,1802
2021-07-16,36,1852
2021-09-07,423,1331
2021-04-04,34,1708
2021-03-20,8,1713
2021-10-15,58,931
2021-05-19,311,1204
2021-12-12,754,1722
2021-09-24,731,1691
2021-04-14,402,1309
2021-10-08,278,1166
2021-04-10,259,1146
2021-06-01,836,1822
2021-06-05,763,1731
2021-07-03,37,1816
2021-05-09,284,1173
2021-11-30,495,1418
2021-12-03,14,884
2020-09-18,50,923
2021-05-05,6,1161
2021-06-19,253,1141
2021-07-31,484,1401
2020-10-05,80,954
2021-12-08,719,1674
2021-10-22,8,1343
2021-05-27,78,952
2021-07-23,568,1500
2021-08-21,8,944
2021-12-11,849,1836
2021-10-24,442,1352
2021-09-05,93,967
2021-09-15,157,1032
2021-10-26,215,1101
2021-10-09,576,1509
2021-09-12,450,1361
2021-07-18,815,1793
2021-05-03,36,1805
2021-07-24,540,1470
2021-07-25,100,974
2021-07-19,613,1549
2021-02-01,704,1654
2021-12-14,505,1428
2021-07-22,83,957
2021-12-30,452,1363
2021-05-10,68,941
2021-12-09,709,1683
2021-06-10,469,1383
2021-10-19,69,942
2021-04-10,2,871
2021-08-14,565,1497
2021-06-30,642,1582
2021-07-20,8,1342
2021-07-18,264,1455
2021-05-12,345,1239
2021-01-13,761,1729
2021-06-17,774,1745
2021-07-24,739,1702
2021-06-15,8,1701
2021-07-18,27,899
2021-12-07,48,921
2021-12-07,555,1487
2021-08-21,131,1005
2021-11-28,840,1827
2021-08-22,784,1756
2021-12-31,8,1322
2021-05-21,359,1257
2021-12-31,344,1238
2021-08-24,134,1008
2021-08-09,435,1345
2021-08-09,94,968
2021-12-29,287,1176
2021-12-23,286,1175
2021-10-20,360,1258
2021-08-02,392,1297
2021-05-13,544,1676
2021-05-16,116,990
2021-06-22,103,978
2021-09-27,89,963
2021-07-15,139,1013
2021-06-12,214,1099
2021-08-03,10,1763
2021-11-02,400,1306
2021-05-05,132,1006
2021-03-08,6,1764
2021-04-21,179,1057
2021-07-18,766,1735
2021-10-14,603,1539
2021-11-24,843,1830
2021-06-05,693,1641
2021-03-03,140,1063
2021-07-17,418,1325
2021-12-22,8,1653
2021-12-19,319,1212
2021-08-17,138,1012
2021-07-18,686,1633
2021-05-02,244,1132
2021-08-01,352,1688
2021-08-15,673,1616
2021-08-26,204,1088
2021-09-03,713,1667
2021-01-19,223,1110
2021-08-12,813,1790
2021-06-26,306,1198
2021-07-16,37,910
2021-05-16,84,958
2021-06-20,499,1422
2021-08-01,799,1776
2021-10-28,8,1243
2021-05-09,520,1443
2021-09-25,172,1048
2021-07-22,471,1385
2021-12-16,510,1652
2021-07-17,88,962
2021-10-24,666,1608
2021-10-11,375,1274
2021-06-03,470,1384
2021-07-27,333,1226
2021-07-23,294,1184
2021-10-16,743,1707
2021-07-24,473,1388
2021-07-24,770,1741
2021-12-18,510,1433
2021-09-15,845,1832
2021-05-01,708,1661
2021-07-23,488,1405
2021-12-23,1,870
2021-06-27,300,1191
2021-07-25,697,1645
2021-12-07,498,1421
2021-11-12,273,1160
2021-09-28,370,1269
2021-10-10,323,1216
2020-09-20,596,1532
2021-05-23,482,1399
2021-09-23,432,1340
2021-06-08,509,1432
2021-05-21,37,1186
2021-09-29,399,1305
2021-12-04,411,1317
2021-05-10,738,1700
2021-04-27,305,1196
2021-07-23,25,897
2021-08-06,10,1081
2021-06-28,101,976
2020-11-29,238,1125
2021-03-10,706,1657
2021-04-27,110,984
2021-05-09,611,1547
2021-08-02,336,1229
2021-11-29,335,1228
2021-07-17,72,946
2021-04-18,155,1675
2021-07-24,588,1522
2021-06-06,516,1439
2021-07-26,463,1376
2021-02-16,42,915
2021-06-27,21,892
2021-07-22,670,1611
2021-07-24,808,1785
2021-05-15,867,1857
2022-01-01,409,1315
2021-10-01,40,913
2020-06-01,575,1817
2021-12-15,536,1464
2021-05-03,175,1053
2021-06-01,786,1758
2021-05-11,203,1087
2021-09-18,805,1782
2021-10-30,29,901
2021-07-06,37,1515
2022-01-01,661,1602
2020-11-05,130,1004
2021-04-05,806,1783
2021-11-29,8,1458
2021-02-19,524,1447
2021-07-24,5,874
2021-10-25,679,1624
2021-09-08,465,1379
2021-09-09,380,1280
2021-09-26,396,1301
2021-07-19,167,1043
2021-01-20,659,1600
2021-12-20,726,1685
2021-05-11,695,1643
2021-05-23,490,1408
2021-12-11,182,1061
2021-07-18,117,1572
2021-07-17,86,960
2021-08-02,339,1232
2021-04-17,18,888
2021-07-21,434,1344
2021-07-11,295,1185
2021-07-24,258,1145
2021-10-29,92,966
2021-05-13,622,1559
2021-07-17,394,1299
2021-08-14,602,1538
2021-09-11,429,1337
2021-05-25,316,1209
2021-04-08,87,961
2021-09-09,593,1529
2021-09-22,352,1625
2021-07-19,814,1792
2021-04-06,647,1587
2021-07-26,844,1831
2021-09-30,413,1319
2021-07-11,117,1051
2021-02-11,804,1781
2021-05-06,365,1263
2020-11-01,355,1252
2021-07-24,655,1596
2021-07-14,37,1084
2021-08-11,395,1300
2021-04-07,528,1451
2021-07-22,767,1738
2021-11-09,783,1755
2021-03-14,545,1476
2021-07-19,293,1182
2021-06-19,408,1314
2021-11-03,235,1122
2021-07-19,526,1449
2021-03-26,8,1551
2021-07-27,239,1126
2021-09-24,832,1818
2021-07-10,36,1859
2021-11-29,63,936
2021-03-07,143,1017
2021-09-07,703,1651
2021-04-20,857,1845
2021-04-26,616,1770
2021-01-18,682,1628
2021-07-08,151,1026
2021-02-19,454,1365
2021-11-02,595,1531
2021-07-17,206,1090
2021-04-09,75,949
2021-04-11,70,943
2021-08-09,583,1517
2021-11-02,353,1250
2021-07-18,62,935
2021-11-30,753,1721
2021-10-11,33,905
2021-04-27,199,1080
2021-07-20,66,939
2021-08-04,10,1094
2021-07-18,304,1195
2021-04-11,165,1041
2021-05-01,79,953
2021-07-23,587,1521
2021-09-19,591,1526
2021-10-30,275,1163
2021-10-09,710,1664
2021-04-06,625,1562
2021-08-07,129,1003
2021-12-12,176,1054
2021-08-06,537,1467
2021-07-12,835,1821
2021-10-11,407,1313
2022-01-01,517,1440
2021-07-24,98,972
2021-09-24,531,1456
2020-05-31,141,1015
2021-10-04,263,1150
2021-07-22,17,887
2021-05-31,189,1069
2021-05-14,792,1766
2020-11-29,757,1725
2021-07-25,675,1619
2021-12-19,281,1170
2021-07-16,522,1445
2021-08-05,207,1091
2021-04-02,57,930
2021-09-25,781,1752
2021-12-16,128,1002
2021-10-20,279,1168
2021-06-28,115,989
2021-07-17,557,1490
2021-10-18,573,1505
2021-04-12,34,906
2021-07-23,669,1610
2021-04-19,594,1530
2021-07-24,368,1267
2021-12-05,728,1687
2021-07-23,398,1303
2021-03-17,366,1264
2021-07-20,6,1100
2021-05-29,0,869
2021-09-12,261,1148
2021-07-19,619,1556
2021-06-26,190,1070
2021-09-17,572,1504
2021-03-25,54,1023
2021-12-10,709,1663
2021-07-21,643,1583
2021-05-04,97,971
2021-12-15,10,1136
2021-09-06,124,1682
2021-05-27,8,1234
2021-11-12,508,1431
2021-10-28,810,1787
2021-10-22,646,1586
2021-07-10,561,1493
2021-07-08,460,1372
2021-10-05,829,1812
2021-03-05,77,951
2021-09-17,285,1174
2022-01-01,334,1227
2021-04-21,54,1471
2021-07-21,733,1694
2021-05-07,821,1803
2021-08-15,328,1221
2021-07-30,417,1324
2021-04-06,790,1762
2021-04-05,676,1620
2021-07-27,419,1326
2021-06-24,497,1420
2021-06-27,36,1850
2021-08-23,340,1672
2021-10-08,764,1732
2021-05-03,866,1856
2021-09-22,309,1202
2021-06-13,222,1109
2021-05-02,480,1397
2021-07-20,296,1187
2021-03-24,564,1496
2021-02-08,507,1430
2021-09-03,272,1159
2021-11-03,486,1403
2021-06-29,12,882
2021-07-19,705,1655
2021-11-10,548,1479
2021-04-21,54,1377
2021-07-22,147,1079
2021-07-23,663,1604
2021-07-26,106,981
2021-07-24,519,1442
2021-06-15,177,1055
2021-02-08,192,1072
2021-11-07,615,1552
2021-06-06,36,1613
2021-09-13,250,1138
2021-12-25,580,1513
2021-07-20,247,1135
2021-07-18,283,1172
2021-10-16,369,1268
2021-09-30,610,1546
2021-12-09,31,903
2021-07-20,64,937
2021-07-24,225,1112
2021-09-22,823,1806
2021-12-08,393,1298
2021-07-24,817,1796
2021-05-18,446,1357
2021-04-23,73,947
2021-12-04,350,1247
2021-08-01,36,909
2021-07-20,188,1068
2021-11-03,789,1761
2021-12-14,292,1181
2021-07-25,315,1208
2021-02-23,725,1684
2021-05-27,8,1281
2021-07-22,736,1698
2021-10-13,614,1550
2021-07-21,30,902
2021-10-05,852,1839
2021-06-05,187,1067
2021-10-09,853,1840
2021-08-04,36,1754
2021-07-20,289,1178
2021-07-17,302,1193
2021-09-14,772,1743
2021-08-12,112,986
2021-10-09,201,1085
2021-05-25,715,1669
2021-07-23,721,1678
2021-07-19,174,1052
2021-10-16,685,1631
2021-10-07,635,1574
2021-07-18,180,1058
2021-09-27,166,1042
2021-04-05,649,1590
2021-04-06,264,1151
2021-07-12,819,1798
2021-07-24,248,271
2021-09-07,181,1059
2021-07-18,331,1224
2021-09-28,861,1849
2021-07-13,516,1717
2021-09-15,219,1106
2021-03-14,254,857
2021-08-14,10,1452
2021-07-24,527,1450
2021-08-23,332,1240
2021-09-08,71,699
2021-12-29,321,1214
2021-07-22,332,1396
2021-10-18,389,1293
2021-07-20,723,1680
2021-07-24,121,995
2021-11-27,477,1393
2022-01-02,699,1647
2021-12-18,220,1107
2021-09-19,830,1814
2021-07-16,653,1594
2021-05-14,8,1129
2021-08-18,22,894
2021-07-22,769,1740
2021-03-17,851,1838
2021-07-23,41,914
2021-11-25,800,1777
2021-05-31,6,893
2021-03-15,133,1007
2021-09-03,10,908
2021-12-05,571,1503
2021-08-23,397,1302
2021-04-04,620,1557
2021-12-24,322,1772
2021-02-07,8,1737
2021-07-22,525,1448
2021-05-19,859,1847
2021-10-16,711,1665
2021-10-08,317,1210
2021-07-20,74,948
2020-12-26,379,1279
2021-11-13,164,1040
2021-07-21,608,1544
2020-12-23,428,1336
2021-12-27,307,1200
2021-09-24,655,1662
2021-08-02,621,1558
2021-08-04,796,1773
2021-12-05,751,1718
2021-12-07,607,1543
2021-05-23,599,1535
2021-07-16,10,1621
2021-07-27,707,1660
2021-07-23,475,1390
2021-07-18,837,1823
2021-12-27,205,1089
2021-05-16,226,1113
2021-12-20,330,1223
2021-04-26,598,1534
2021-11-25,793,1767
2021-08-09,377,1277
2020-08-03,150,1025
2021-04-05,298,1189
2021-12-12,530,1454
2021-11-22,194,1074
2021-06-24,301,1192
2021-11-08,485,1402
2021-12-19,67,940
2021-05-30,147,1463
2021-07-22,700,1648
2021-09-08,692,1639
2021-06-13,105,980
2021-03-06,38,911
2021-12-06,332,1225
2021-05-11,8,1612
2021-09-21,617,1554
2021-06-15,833,1819
2021-07-25,221,1108
2021-07-24,494,1417
2021-04-25,382,1283
2021-03-17,641,1580
2021-04-26,290,1179
2021-06-13,117,1288
2021-10-24,234,1733
2021-07-23,744,1709
2021-12-27,756,1724
2021-09-12,39,912
2021-10-27,449,1360
2021-07-17,741,1705
2021-04-30,560,1492
2021-09-26,352,1249
2020-09-08,81,955
2021-07-17,727,1686
2022-01-02,797,1774
2021-07-22,320,1213
2021-05-20,352,1658
2021-08-05,483,1400
2021-10-01,865,1855
2021-04-17,431,1339
2021-07-04,37,1605
2021-09-24,776,1747
2021-12-14,111,985
2021-04-22,842,1829
2021-07-29,415,1321
2021-03-07,665,1607
2021-08-03,493,1416
2021-08-03,546,1477
2021-12-07,256,1143
2021-12-23,503,1426
2021-11-13,803,1780
2021-09-06,208,1092
2021-10-22,556,1488
2021-12-07,515,1438
2021-03-11,195,1075
2021-08-02,43,916
2021-12-14,8,877
2021-06-19,702,1650
2021-05-22,8,881
2021-07-22,59,932
2021-08-22,6,1410
2021-09-05,46,919
2021-07-17,698,1646
2021-07-20,209,1093
2021-10-08,314,1207
2021-09-10,342,1236
2021-09-19,809,1786
2021-08-13,202,1086
2021-07-16,371,1270
2021-07-28,26,898
2021-09-22,326,1219
2021-07-21,218,1105
2021-08-21,683,1629
2021-04-13,552,1483
2021-10-30,96,970
2021-07-18,233,1120
2021-03-27,34,1826
2021-12-30,416,1323
2021-11-30,472,1386
2021-07-20,816,1795
2021-08-06,310,1203
2021-12-20,322,1769
2021-07-19,632,1569
2021-12-04,282,1171
2021-08-08,825,1808
2021-07-23,265,1152
2021-07-23,53,926
2021-09-30,299,1190
2021-07-20,749,1715
2021-08-03,312,1205
2021-08-30,227,1114
2021-09-23,420,1328
2021-07-31,425,1333
2021-01-17,6,889
2021-07-09,512,1435
2021-07-19,481,1398
2021-07-10,8,1409
2021-08-05,453,1364
2021-03-01,651,1592
2021-07-04,8,1794
2021-05-13,8,1465
2021-05-04,274,1162
2021-10-08,338,1231
2021-07-20,570,1502
2021-07-24,185,1065
2021-06-13,363,1261
2021-07-03,474,1389
2021-07-14,547,1478
2021-07-15,8,1791
2021-07-24,133,1374
2021-10-02,758,1726
2021-07-18,737,1699
2021-09-16,657,1598
2021-07-20,198,1078
2021-12-31,500,1423
2021-08-10,652,1593
2021-02-15,214,1581
2021-09-10,479,1395
2021-12-26,624,1561
2021-03-17,445,1355
2021-11-06,864,1854
2021-03-15,609,1545
2021-07-24,722,1679
2021-09-17,506,1429
2021-03-29,718,1673
2021-07-12,858,1846
2021-09-25,650,1591
2021-07-17,518,1441
2021-11-03,634,1573
2021-11-12,779,1750
2021-12-02,184,1064
2021-11-15,534,1461
2021-06-05,762,1730
2021-12-26,513,1436
2021-12-05,376,1275
2021-07-26,410,1316
2021-08-23,102,977
2021-09-28,720,1677
2021-11-16,628,1565
2021-07-18,592,1528
2021-07-17,378,1278
2021-07-17,135,1009
2021-05-18,117,1104
2021-04-17,554,1485
2021-12-02,441,1351
2021-05-05,35,907
2021-06-07,119,993
2021-11-11,462,1375
2021-07-03,648,1589
2021-12-17,785,1757
2021-10-29,8,1489
2020-03-13,539,1469
2021-05-09,137,1011
2021-04-19,133,1050
2021-07-02,125,999
2021-08-29,65,938
2021-03-10,8,1276
2021-11-23,152,1027
2021-12-31,656,1597
2021-07-21,11,880
2021-05-04,658,1599
2021-01-25,242,1130
2021-12-22,266,1153
2021-06-29,145,1019
2021-10-05,841,1828
2021-08-30,447,1358
2021-12-02,51,924
2021-09-27,847,1834
2021-07-04,16,886
2021-03-27,214,1736
2021-04-26,672,1615
2021-05-29,824,1807
2021-10-12,640,1579
2021-05-24,7,876
2021-06-28,543,1474
2021-07-09,262,1149
2021-06-23,8,1242
2021-07-24,6,1414
2021-12-12,322,1215
2021-03-31,575,1508
2021-08-06,214,1720
2021-03-16,54,927
2021-05-06,20,891
2021-08-21,584,1518
2021-05-30,855,1842
2021-12-29,237,1124
2021-11-08,746,1711
2021-09-26,687,1634
2020-12-26,579,1512
2021-07-31,288,1177
2021-03-04,487,1404
2021-07-23,822,1804
2021-12-13,551,1482
2021-05-08,838,1824
2021-09-12,162,1038
2021-09-24,264,1406
2021-10-08,234,1121
2021-02-06,140,1799
2021-07-18,210,1095
2021-09-28,236,1123
2021-10-16,688,1635
2021-03-13,752,1719
2021-11-27,464,1378
2021-12-20,270,1157
2021-10-13,348,1245
2021-07-24,228,1115
2022-01-02,197,1077
2021-03-07,351,1248
2021-04-15,308,1201
2021-03-28,232,1119
2021-06-20,712,1666
2021-09-25,163,1039
2021-07-21,249,1137
2021-12-27,734,1695
2021-10-16,456,1368
2021-10-10,161,1037
2021-09-08,255,1142
2021-05-05,6,1308
2021-07-06,196,1076
2021-08-01,406,261
2021-08-01,426,1334
2021-12-29,604,1540
2021-12-13,108,982
2021-08-01,241,1128
2021-07-24,260,1147
2021-09-22,52,925
2021-09-14,765,1734
2021-03-13,133,1367
2021-10-26,362,1260
2021-08-08,324,1217
2021-03-02,846,1833
2021-07-26,630,1567
2021-10-04,144,1018
2021-09-15,412,1318
2021-06-27,742,1706
2021-07-10,341,1235
2021-07-20,267,1154
2021-04-24,133,1466
2021-05-08,116,1304
2021-05-25,10,879
2021-07-15,8,1387
2021-03-05,771,1742
2021-07-31,549,1480
2021-12-30,169,1045
2021-07-23,725,1813
2021-07-22,755,1723
2021-07-23,160,1036
2021-06-04,155,1800
2021-10-28,689,1636
2021-12-30,318,1211
2021-04-05,140,1014
2021-02-25,356,1254
2021-12-25,90,964
2021-04-25,807,1784
2021-02-20,730,1690
2021-12-27,775,1746
2021-09-20,214,432
2021-07-20,433,1341
2021-08-15,44,917
2021-09-02,23,895
2021-12-30,787,1759
2021-04-04,674,1618
2021-05-26,114,988
2021-09-24,118,992
2021-04-20,848,1835
2021-07-11,639,1578
2021-12-12,451,1362
2021-09-09,532,1457
2021-10-08,529,1453
2021-11-02,193,1073
2021-09-08,24,896
2021-09-06,69,1801
2021-04-04,492,1415
2021-05-04,794,1768
2021-04-28,8,1692
2021-07-24,437,1347
2021-11-04,458,1370
2021-04-06,455,1366
2021-11-29,337,1230
2021-02-01,136,1010
2021-12-18,113,987
2021-07-21,724,1681
2021-08-05,563,1495
2021-07-24,501,1424
2021-07-20,54,1197
2021-03-02,54,1060
2021-04-10,6,875
2021-09-11,159,1035
2021-08-04,466,1380
2021-07-17,550,1481
2021-08-25,768,1739
2021-10-05,390,1294
2021-05-09,214,1506
2021-11-02,215,1571
2021-07-18,590,1524
2021-10-27,612,1548
2020-10-17,538,1468
2021-09-27,439,1349
2021-06-20,780,1751
2021-12-28,13,883
2021-09-14,623,1560
2021-07-27,701,1649
2021-08-08,662,1603
2021-01-23,61,934
2021-04-12,818,1797
2021-09-23,374,1273
2021-07-18,468,1382
2021-12-01,313,1206
2021-12-31,212,1097
2021-04-13,76,950
2021-07-24,684,1630
2021-09-18,154,1029
2021-10-29,82,956
2021-12-17,777,1748
2021-07-20,277,1165
2021-11-22,9,878
2021-04-22,491,1413
2021-05-09,798,1775
2021-08-13,660,1601
2020-06-07,329,1222
2021-08-19,386,1290
2021-11-25,430,1338
2021-04-19,616,1553
2021-01-31,654,1595
2021-10-19,217,1103
2021-07-22,252,1140
2021-09-26,251,1139
2021-12-30,373,1525
2020-11-09,142,1016
2021-11-26,629,1566
2021-07-09,533,1459
2021-12-01,124,998
2020-11-30,574,1507
2021-10-15,626,1563
2021-07-20,327,1220
2021-07-22,8,1199
2021-08-22,668,442
2021-04-07,117,1640
2021-06-03,8,1632
2021-09-04,414,1320
2021-07-17,123,997
2021-07-17,291,1180
2021-08-30,748,1714
2021-07-23,782,1753
2021-08-06,578,1511
2021-05-03,828,1811
2021-07-21,667,1609
2021-08-02,47,920
2021-07-24,104,979
2021-10-05,760,1728
2021-07-18,404,1311
2021-05-04,544,1475
2021-01-07,427,1335
2021-07-17,448,1359
2021-07-17,812,1789
2021-12-15,156,1031
2021-07-20,601,1537
2021-07-11,440,1350
2021-09-04,55,928
